bernie,neutral,0
King Salman,neutral,0
Mike Dewine,neutral,0
Kushner,negative,-0.80635
Las Vegas,negative,-0.45726
Bernie,positive,0.44666
BERNIE SANDERS,negative,-0.706414
Joseph Pizza,neutral,0
Bernie,positive,0.669752
Joe Biden,positive,0.581374
Trump,neutral,0
Fauci,negative,-0.773473
bernie,negative,-0.771827
Bill Barr,negative,-0.951688
Trump,negative,-0.947567
India,negative,-0.820607
Jamin Arn,neutral,0
Dr. Fermin Leguen,negative,-0.88157
Trump,negative,-0.606517
Bernie,negative,-0.545579
Arizona,negative,-0.818929
Brian Miller,neutral,0
King Salman,neutral,0
@EdwardHyena @kmriecke,neutral,0
BERNIE SANDERS,positive,0.551771
Bernie,positive,0.653312
Winnipeg,positive,0.612001
Trudeau,positive,0.612001
Iraq,negative,-0.975268
New York,negative,-0.853051
Barr,positive,0.624896
Jack,positive,0.962996
Biden,negative,-0.842916
BERNIE SANDERS,positive,0.551771
Barron Trump,positive,0.562551
Donald Trump,negative,-0.531135
Las Vegas,neutral,0
@nkjemisin,positive,0.748714
Trump,positive,0.748714
bernie,negative,-0.914248
Michelle,negative,-0.621947
California,neutral,0
 completely i,neutral,0
China,negative,-0.796699
Bernie,negative,-0.564543
bernie,negative,-0.926101
bernie,positive,0.860827
Elizab,neutral,0
BERNIE SANDERS,negative,-0.706414
Trump,neutral,0
Bernies,neutral,0
Trump,neutral,0
Lonnie,negative,-0.846649
Trump,neutral,0
Hajdu,neutral,0
Iraq,negative,-0.975268
President Trump,neutral,0
germany,negative,-0.761388
Bernie Sanders,neutral,0
Colin Kaepernick,positive,0.943443
Bernie,negative,-0.564543
 completely i,neutral,0
Biden,negative,-0.69552
Trump,negative,-0.62415
Katie Porter,neutral,0
Trump,negative,-0.558865
Donald Trump,negative,-0.900456
Young,neutral,0
Barr,neutral,0
Bernie,negative,-0.53891
Bernie,negative,-0.564543
BERNIE SANDERS,negative,-0.706414
King Salman,neutral,0
Trump,negative,-0.833887
Assam,neutral,0
BERNIE SANDERS,negative,-0.706414
Jim Acosta,neutral,0
King Salman,neutral,0
mcconnell,negative,-0.520897
King Salman,neutral,0
King Salman,neutral,0
Trump,negative,-0.68462
George Soros,positive,0.636877
Dr. Vin Gupta,negative,-0.62964
Trump,negative,-0.630228
Bernie,negative,-0.53891
Bernie,neutral,0
Joe Biden,neutral,0
Bernie,negative,-0.53891
Robert Jenrick,neutral,0
President Trump,neutral,0
Iraq,negative,-0.975268
President Trump,neutral,0
Bill Gates,neutral,0
U.S.,negative,-0.900773
Trump,negative,-0.84409
Well,positive,0.78006
Bernie,negative,-0.333458
Indianapolis,negative,-0.779092
